facility_id,facility_name,facility_type,address,city,state,zip,esd_procedure,created_at
HSOP104563,St. Joseph Gastroenterology & Endoscopy Lewiston Idaho,Hospital/Clinic,1630 23rd Ave Ste 701,Lewiston,Idaho,83501,No,
HSOP104564,Lake Regional General Surgery Osage Beach Missouri,Hospital/Clinic,54 Hospital Dr,Osage Beach,Missouri,65065,No,
HSOP104565,Sinai Hospital of Baltimore Baltimore Maryland,Hospital/Clinic,2411 W Belvedere Ave Ste 308,Baltimore,Maryland,21215,No,
HSOP104566,Baptist Health Brookwood Hospital Birmingham Alabama,Hospital/Clinic,1 Independence Plz,Birmingham,Alabama,35209,No,
HSOP104567,Benewah Community Hospital St Maries Idaho,Hospital/Clinic,229 S 8th St,St Maries,Idaho,83861,No,
HSOP104568,"Virginia Mason Franciscan Health-St. Anthony Hospital Kansas City, Kansas",Hospital/Clinic,"3901 Rainbow Blvd, Rm 4035","Kansas City,",Kansas,66160,No,
HSOP104569,Health First Holmes Regional Medical Center Melbourne Florida,Hospital/Clinic,200 Michigan Ave,Melbourne,Florida,32901,No,
HSOP104570,Beaufort Memorial Hospital Beaufort South Carolina,Hospital/Clinic,Beaufort Memorial Lowcountry Medical Group,Beaufort,South Carolina,29906,No,
HSOP104571,Clovis Community Medical Center Fresno California,Hospital/Clinic,7095 N Chestnut Ave Ste 101,Fresno,California,93720,No,
HSOP104572,Northwest Arkansas Surgical Clinic Springdale Arkansas,Hospital/Clinic,724 Deaver St,Springdale,Arkansas,72764,No,
HSOP104573,Holy Cross Health Center Oakland Park Florida,Hospital/Clinic,5301 N Dixie Hwy,Oakland Park,Florida,33334,No,
HSOP104574,Bitterroot Health-Daly Hospital Helena Montana,Hospital/Clinic,3330 Ptarmigan Ln,Helena,Montana,59602,No,
HSOP104575,Doctors Hospital of Augusta Augusta Georgia,Hospital/Clinic,1348 Walton Way Ste 6500,Augusta,Georgia,30901,No,
HSOP104576,Tullahoma Surgery Center Tullahoma Tennessee,Hospital/Clinic,1750 Cedar Ln,Tullahoma,Tennessee,37388,No,
HSOP104577,Iowa Clinic West Des Moines Iowa,Hospital/Clinic,5950 University Ave,West Des Moines,Iowa,50266,No,
HSOP104578,Infirmary Health Mobile Alabama,Hospital/Clinic,1700 Springhill Ave,Mobile,Alabama,36604,No,
HSOP104579,Riverside Regional Medical Center Williamsburg Virginia,Hospital/Clinic,457 Mclaws Cir,Williamsburg,Virginia,23185,No,
HSOP104580,Northwest Medical Center-Springdale Springdale Arkansas,Hospital/Clinic,3901 Parkway Cir Ste 550,Springdale,Arkansas,72762,No,
HSOP104581,Beaumont Hospital Farmington Hills Michigan,Hospital/Clinic,28080 Grand River Ave,Farmington Hills,Michigan,48336,No,
HSOP104582,HCA Florida Blake Hospital Bradenton Florida,Hospital/Clinic,1886 59th St W,Bradenton,Florida,34209,No,
HSOP104583,Granite Peaks Gastroenterology Sandy Utah,Hospital/Clinic,9829 S 1300 E,Sandy,Utah,84094,No,
HSOP104584,West Holt Medical Services Stuart Nebraska,Hospital/Clinic,110 W. 2nd St.,Stuart,Nebraska,68780,No,
HSOP104585,Ohio Gastroenterology Group Westerville Ohio,Hospital/Clinic,430 Altair Pkwy Ste 110,Westerville,Ohio,43082,No,
HSOP104586,DMC Harper University Hospital Detroit Michigan,Hospital/Clinic,4160 John R St,Detroit,Michigan,48201,No,
